inspection_id,timestamp,product_batch,machine_id,production_line,inspector_id,product_type,inspection_stage,quality_score,pass_fail,defect_type,defect_severity,defect_location,defect_description,corrective_action,material_batch,supplier,dimensions_x_mm,dimensions_y_mm,dimensions_z_mm,weight_grams,surface_finish_ra,hardness_hrc,color_match,functionality_test,durability_score,customer_spec,tolerance_met,rework_required,scrap_decision,cost_impact_usd
QC_001,2024-10-01 08:15:00,BATCH_A001,MACHINE_001,LINE_A,QC_001,WIDGET_ALPHA,FINAL_INSPECTION,94.5,PASS,NONE,NONE,N/A,Product meets all specifications,None required,MAT_A_2024_078,SUPPLIER_ACME,100.2,50.1,25.0,245.8,1.2,58,EXCELLENT,PASS,98,SPEC_ALPHA_V2.1,TRUE,FALSE,FALSE,0.00
QC_002,2024-10-01 08:20:00,BATCH_A001,MACHINE_001,LINE_A,QC_001,WIDGET_ALPHA,FINAL_INSPECTION,92.8,PASS,MINOR_SCRATCH,LOW,SURFACE_TOP,Small scratch on top surface - cosmetic only,Polish surface,MAT_A_2024_078,SUPPLIER_ACME,100.1,50.0,25.1,246.2,1.4,58,GOOD,PASS,97,SPEC_ALPHA_V2.1,TRUE,TRUE,FALSE,12.50
QC_003,2024-10-01 08:25:00,BATCH_A001,MACHINE_001,LINE_A,QC_001,WIDGET_ALPHA,FINAL_INSPECTION,87.2,FAIL,DIMENSION_ERROR,MEDIUM,DIMENSION_X,X-dimension out of tolerance by 0.8mm,Adjust machine calibration,MAT_A_2024_078,SUPPLIER_ACME,100.8,50.0,25.0,245.5,1.3,57,GOOD,PASS,95,SPEC_ALPHA_V2.1,FALSE,TRUE,FALSE,45.00
QC_004,2024-10-01 08:30:00,BATCH_A001,MACHINE_001,LINE_A,QC_001,WIDGET_ALPHA,FINAL_INSPECTION,96.1,PASS,NONE,NONE,N/A,Excellent quality - above average specs,None required,MAT_A_2024_078,SUPPLIER_ACME,99.9,49.9,25.0,245.9,1.1,58,EXCELLENT,PASS,99,SPEC_ALPHA_V2.1,TRUE,FALSE,FALSE,0.00
QC_005,2024-10-01 08:35:00,BATCH_A001,MACHINE_001,LINE_A,QC_001,WIDGET_ALPHA,FINAL_INSPECTION,89.4,PASS,COLOR_VARIATION,LOW,SURFACE_SIDE,Slight color variation on side panel,Color correction in next batch,MAT_A_2024_078,SUPPLIER_ACME,100.0,50.1,25.0,246.1,1.3,58,ACCEPTABLE,PASS,96,SPEC_ALPHA_V2.1,TRUE,FALSE,FALSE,0.00
QC_006,2024-10-01 09:10:00,BATCH_A002,MACHINE_001,LINE_A,QC_002,WIDGET_ALPHA,IN_PROCESS,91.7,PASS,SURFACE_ROUGHNESS,LOW,SURFACE_BOTTOM,Bottom surface slightly rougher than spec,Adjust cutting parameters,MAT_A_2024_079,SUPPLIER_ACME,100.1,50.0,25.0,245.7,1.6,58,GOOD,PASS,94,SPEC_ALPHA_V2.1,TRUE,FALSE,FALSE,0.00
QC_007,2024-10-01 09:15:00,BATCH_A002,MACHINE_001,LINE_A,QC_002,WIDGET_ALPHA,IN_PROCESS,95.3,PASS,NONE,NONE,N/A,Product within all specifications,None required,MAT_A_2024_079,SUPPLIER_ACME,99.8,49.9,25.1,246.0,1.2,58,EXCELLENT,PASS,98,SPEC_ALPHA_V2.1,TRUE,FALSE,FALSE,0.00
QC_008,2024-10-01 09:20:00,BATCH_A002,MACHINE_001,LINE_A,QC_002,WIDGET_ALPHA,IN_PROCESS,83.6,FAIL,CRACK,HIGH,STRUCTURAL,Hairline crack detected in structural component,Reject and investigate root cause,MAT_A_2024_079,SUPPLIER_ACME,100.0,50.0,25.0,245.8,1.3,55,GOOD,FAIL,78,SPEC_ALPHA_V2.1,FALSE,FALSE,TRUE,125.00
QC_009,2024-10-01 09:25:00,BATCH_A002,MACHINE_001,LINE_A,QC_002,WIDGET_ALPHA,IN_PROCESS,93.8,PASS,MINOR_BURR,LOW,EDGE_CORNER,Small burr on corner edge,Deburr manually,MAT_A_2024_079,SUPPLIER_ACME,100.1,50.1,24.9,245.9,1.3,58,GOOD,PASS,96,SPEC_ALPHA_V2.1,TRUE,TRUE,FALSE,8.75
QC_010,2024-10-01 09:30:00,BATCH_A002,MACHINE_001,LINE_A,QC_002,WIDGET_ALPHA,IN_PROCESS,97.2,PASS,NONE,NONE,N/A,Superior quality product,None required,MAT_A_2024_079,SUPPLIER_ACME,99.9,50.0,25.0,246.2,1.1,59,EXCELLENT,PASS,99,SPEC_ALPHA_V2.1,TRUE,FALSE,FALSE,0.00
