maintenance_id,machine_id,production_line,maintenance_type,scheduled_date,actual_start,actual_end,duration_hours,technician_id,work_order,priority,maintenance_category,description,parts_replaced,parts_cost_usd,labor_cost_usd,total_cost_usd,downtime_impact,root_cause,preventive_action,next_maintenance_due,status,failure_mode,mtbf_hours,mttr_hours,reliability_score
MAINT_001,MACHINE_001,LINE_A,PREVENTIVE,2024-09-30 06:00:00,2024-09-30 06:15:00,2024-09-30 07:45:00,1.5,TECH_001,WO_2024_001,MEDIUM,LUBRICATION,Routine lubrication and filter replacement,Oil Filter;Hydraulic Fluid,125.50,180.00,305.50,MINIMAL,N/A,Continue monthly schedule,2024-10-30 06:00:00,COMPLETED,N/A,720,1.5,98.2
MAINT_002,MACHINE_002,LINE_A,CORRECTIVE,2024-10-01 08:35:00,2024-10-01 08:45:00,2024-10-01 09:20:00,0.58,TECH_002,WO_2024_002,HIGH,ELECTRICAL,Motor overheating - temperature sensor malfunction,Temperature Sensor;Thermal Relay,245.75,220.00,465.75,MODERATE,Sensor calibration drift,Implement weekly sensor checks,2024-10-15 09:00:00,COMPLETED,SENSOR_FAILURE,168,0.58,94.1
MAINT_003,MACHINE_003,LINE_B,CORRECTIVE,2024-10-01 09:50:00,2024-10-01 10:05:00,2024-10-01 10:35:00,0.5,TECH_008,WO_2024_003,HIGH,MECHANICAL,Bearing vibration exceeded threshold,Bearing Assembly;Vibration Damper,387.25,275.00,662.25,HIGH,Bearing wear due to misalignment,Realign shaft and implement vibration monitoring,2024-10-08 10:00:00,COMPLETED,BEARING_WEAR,156,0.5,91.8
MAINT_004,MACHINE_004,LINE_B,PREVENTIVE,2024-10-02 05:30:00,2024-10-02 05:45:00,2024-10-02 07:15:00,1.5,TECH_003,WO_2024_004,LOW,CALIBRATION,Precision calibration and alignment check,Calibration Kit,89.50,165.00,254.50,MINIMAL,N/A,Maintain quarterly calibration,2025-01-02 06:00:00,COMPLETED,N/A,2160,1.5,99.1
MAINT_005,MACHINE_001,LINE_A,CORRECTIVE,2024-10-02 14:25:00,2024-10-02 14:35:00,2024-10-02 15:10:00,0.58,TECH_004,WO_2024_005,MEDIUM,PNEUMATIC,Pressure drop in pneumatic system,Pneumatic Valve;Air Filter,156.25,198.00,354.25,MODERATE,Filter clogging due to contaminated air supply,Install upstream air treatment,2024-10-16 14:00:00,COMPLETED,FILTER_CLOG,145,0.58,95.7
MAINT_006,MACHINE_002,LINE_A,PREVENTIVE,2024-10-03 22:00:00,2024-10-03 22:15:00,2024-10-03 23:45:00,1.5,TECH_005,WO_2024_006,LOW,INSPECTION,Comprehensive safety and performance inspection,Safety Sensors;Warning Labels,67.75,142.50,210.25,MINIMAL,N/A,Continue monthly inspections,2024-11-03 22:00:00,COMPLETED,N/A,720,1.5,97.8
MAINT_007,MACHINE_003,LINE_B,CORRECTIVE,2024-10-04 11:40:00,2024-10-04 11:55:00,2024-10-04 12:45:00,0.83,TECH_006,WO_2024_007,HIGH,HYDRAULIC,Hydraulic pump failure - pressure loss,Hydraulic Pump;Pressure Gauge,542.80,310.00,852.80,HIGH,Pump seal degradation,Replace seals quarterly and monitor pressure trends,2024-10-11 12:00:00,COMPLETED,PUMP_FAILURE,134,0.83,89.5
MAINT_008,MACHINE_004,LINE_B,CORRECTIVE,2024-10-05 16:20:00,2024-10-05 16:30:00,2024-10-05 17:15:00,0.75,TECH_007,WO_2024_008,MEDIUM,CONTROL_SYSTEM,PLC communication error - network timeout,Network Module;Communication Cable,298.40,225.00,523.40,MODERATE,Network interference and cable degradation,Implement redundant communication paths,2024-10-19 16:00:00,COMPLETED,COMMUNICATION_FAILURE,187,0.75,93.2
MAINT_009,MACHINE_001,LINE_A,PREVENTIVE,2024-10-06 06:00:00,2024-10-06 06:20:00,2024-10-06 08:10:00,1.83,TECH_001,WO_2024_009,MEDIUM,BELT_CHAIN,Drive belt inspection and tensioning,Drive Belt;Tensioner,134.60,205.00,339.60,LOW,N/A,Monitor belt tension weekly,2024-11-06 06:00:00,COMPLETED,N/A,744,1.83,96.4
MAINT_010,MACHINE_002,LINE_A,CORRECTIVE,2024-10-07 10:15:00,2024-10-07 10:25:00,2024-10-07 11:30:00,1.08,TECH_002,WO_2024_010,HIGH,COOLING,Cooling system malfunction - overheating risk,Cooling Fan;Coolant Pump;Thermostat,456.90,385.00,841.90,HIGH,Coolant pump bearing failure,Implement coolant quality monitoring,2024-10-14 10:00:00,COMPLETED,COOLING_FAILURE,142,1.08,90.7
MAINT_011,MACHINE_003,LINE_B,PREVENTIVE,2024-10-08 05:45:00,2024-10-08 06:00:00,2024-10-08 07:30:00,1.5,TECH_008,WO_2024_011,LOW,LUBRICATION,Gearbox oil change and filter replacement,Gear Oil;Oil Filter;Drain Gasket,178.25,157.50,335.75,MINIMAL,N/A,Continue semi-annual oil changes,2025-04-08 06:00:00,COMPLETED,N/A,4380,1.5,98.9
MAINT_012,MACHINE_004,LINE_B,CORRECTIVE,2024-10-09 13:50:00,2024-10-09 14:05:00,2024-10-09 15:20:00,1.25,TECH_003,WO_2024_012,HIGH,MECHANICAL,Shaft misalignment causing excessive vibration,Coupling;Alignment Kit;Bearing,623.15,445.00,1068.15,HIGH,Foundation settling and thermal expansion,Install flexible couplings and monitor alignment,2024-10-16 14:00:00,COMPLETED,MISALIGNMENT,128,1.25,88.3
MAINT_013,MACHINE_001,LINE_A,CORRECTIVE,2024-10-10 08:40:00,2024-10-10 08:50:00,2024-10-10 09:35:00,0.75,TECH_004,WO_2024_013,MEDIUM,ELECTRICAL,Circuit breaker tripping - overcurrent protection,Circuit Breaker;Current Transformer,287.50,195.00,482.50,MODERATE,Motor drawing excessive current due to load imbalance,Balance production load and upgrade protection,2024-10-24 09:00:00,COMPLETED,OVERCURRENT,165,0.75,94.8
